IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus
30217597,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0907,,SOUTHSIDE,DR,,,,,,,,38.14694451,-85.77420648,6.41,6/22/22 0:00,1717,2,2,0,0,RAINING,WET,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:06,FALSE,7234,Accepted
30217598,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,NATIONAL,TPKE,,,,,,,,38.11419295,-85.74792299,2.876,6/22/22 0:00,1904,2,2,0,0,CLOUDY,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:06,FALSE,7234,Accepted
30217604,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,ST,S,US0060A,EASTERN,,,,,38.21458421,-85.74312849,10.127,6/22/22 0:00,2039,2,2,0,0,,,TRUE,ANGLE COLLISION - OTHER,ANGLE,,,,,6/23/22 8:06,FALSE,5304,Accepted
30208179,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MCNAIR,RD,,,MANSLICK,,,,,38.13193199,-85.79141448,0.002,6/21/22 0:00,25,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,6/21/22 8:57,FALSE,5293,Accepted
30212840,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MUD,LN,,,,,SMITH,,BIER,38.08851722,-85.68522428,1.277,6/21/22 0:00,1026,1,1,0,1,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:12,FALSE,2324,Accepted
30212848,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MUHAMMAD ALI,BLVD,E,KY0061,PRESTON,,,,,38.24997803,-85.74681995,0.724,6/21/22 0:00,1722,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,5407,Accepted
30212859,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY2251,3705,BARDSTOWN,RD,,,,,,,,38.1988926,-85.6597467,1.024,6/21/22 0:00,1500,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,7739,Accepted
30212867,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GOLDSMITH,LN,,KY1703,NEWBURG,,,,,38.20009333,-85.68491116,,6/21/22 0:00,2306,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,6/22/22 8:14,FALSE,5315,Accepted
30212868,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,4910,DETERMINE,LN,,,,,,,,38.17075861,-85.84149052,0.23,6/21/22 0:00,1944,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:14,FALSE,5059,Accepted
30212841,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1747,,FERN VALLEY,RD,,KY1747,KY1747 CROSSOVER,,,,,38.15739187,-85.69562793,2.018,6/21/22 0:00,1236,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:12,FALSE,2324,Accepted
30212842,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1747,,HURSTBOURNE,PKWY,,,,,LISA,,CANONERO,38.16487627,-85.60827907,7.151,6/21/22 0:00,1558,2,2,0,0,CLEAR,DRY,TRUE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,6/22/22 8:12,FALSE,2324,Accepted
30212843,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1747,,HURSTBOURNE,PKWY,,,,,LISA,,CANONERO,38.16485642,-85.60829973,7.149,6/21/22 0:00,1558,3,3,0,0,CLEAR,DRY,TRUE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,6/22/22 8:12,FALSE,2324,Accepted
30212851,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,718,GLIMMER,WAY,,,FLICKER,,,,,38.13061252,-85.78119386,0.002,6/21/22 0:00,1443,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,7234,Accepted
30212857,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,,BEULAH CHURCH,RD,,,,,ARBOR MANOR,,ADAMS RUN,38.1190605,-85.61517043,2.973,6/21/22 0:00,2119,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,6/22/22 8:13,FALSE,7735,Accepted
30212858,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CARLISLE,AVE,,,LENTZ,,,,,38.19426648,-85.78581082,0.348,6/21/22 0:00,1244,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,7455,Accepted
30212816,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,2ND,ST,S,,MAGNOLIA,,,,,38.22878845,-85.75804207,10.911,6/21/22 0:00,803,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:11,FALSE,7132,Accepted
30212833,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,DEL MARIA,,,,,38.17016238,-85.60702532,7.379,6/21/22 0:00,1239,3,3,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:12,FALSE,2017,Accepted
30212834,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,KY1747,HURSTBOURNE,,,,,38.16894555,-85.60500653,7.243,6/21/22 0:00,1201,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:12,FALSE,2017,Accepted
30212835,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,,,,,,38.17482957,-85.61473157,7.909,6/21/22 0:00,825,1,1,0,1,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,,,6/22/22 8:12,FALSE,4693,Accepted
30212821,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,KENHURST,DR,,,BARBROOK,,,,,38.14109866,-85.87770343,0.136,6/21/22 0:00,807,2,2,0,0,CLOUDY,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:11,FALSE,2311,Accepted
30212830,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,26TH,ST,N,,MAIN,,,,,38.26075215,-85.79341863,0.007,6/21/22 0:00,1135,2,2,0,1,CLEAR,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:12,FALSE,5275,Accepted
30212831,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,TYLER,,,,,38.2178356,-85.67754318,12.587,6/21/22 0:00,1230,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:12,FALSE,7793,Accepted
30212837,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,1054,BARRET,AVE,,,,,,,,38.23490535,-85.72703184,1.076,6/21/22 0:00,753,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:12,FALSE,7129,Accepted
30212838,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1447,,WESTPORT,RD,,,INDIAN LAKE,,,,,38.29616991,-85.55327091,6.386,6/21/22 0:00,1435,2,2,0,2,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:12,FALSE,7316,Accepted
30212839,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,ENGLISH STATION,WAY,,,LANDIS RIDGE,,,,,38.23468833,-85.50141648,0.294,6/21/22 0:00,1616,2,2,0,1,CLEAR,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,STRAIGHT & GRADE,DAYLIGHT,,,6/22/22 8:12,FALSE,7802,Accepted
30212845,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,HWY,,,DURRETT,,,,,38.18634721,-85.72415275,7.886,6/21/22 0:00,1503,3,3,0,0,CLEAR,DRY,TRUE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,6/22/22 8:13,FALSE,5203,Accepted
30212846,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,,ST ANDREWS CHURCH,RD,,,,,,,,38.15337942,-85.80735851,5.14,6/21/22 0:00,1545,2,2,0,1,CLEAR,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,CURVE & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,7340,Accepted
30212847,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0065,,I65 NB,,,,,,,,,38.25521261,-85.74217888,136.193,6/21/22 0:00,1509,2,2,0,1,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,CURVE & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,2217,Accepted
30217576,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031,,CLARK MEMORIAL,BRG,,,,,,,,38.26190398,-85.75205126,0.397,6/21/22 0:00,1033,2,2,0,1,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,5354,Accepted
30212844,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,HWY,,,GRADE,,,,,38.18085527,-85.7192662,7.423,6/21/22 0:00,1525,3,3,0,1,CLEAR,DRY,TRUE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,5203,Accepted
30212854,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,,,,,,38.12671413,-85.78257119,0.672,6/21/22 0:00,1620,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,7234,Accepted
30212855,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,NATIONAL,TPKE,,,HOLLY,,,,,38.10138624,-85.73798544,1.719,6/21/22 0:00,1813,2,2,0,2,CLEAR,DRY,FALSE,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,CURVE & LEVEL,DAYLIGHT,,,6/22/22 8:13,FALSE,7234,Accepted
30208181,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0841,,GENE SNYDER,FWY,,I 0065,I65 S EXIT10 RAMP TO I65,,,,,38.11491847,-85.71123479,9.712,6/21/22 0:00,511,1,1,0,1,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,,,6/21/22 8:57,FALSE,7100,Accepted
30211599,561000,JEFFERSONTOWN POLICE DEPT,Accepted,JEFFERSON,,,REHL,RD,,KY0913,BLANKENBAKER,,,,,38.20056296,-85.53830738,,6/21/22 0:00,2152,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,CURVE & LEVEL,DARK-HWY LIGHTED/OFF,,,6/21/22 23:49,FALSE,8226,Accepted
30212856,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0264,,I264 E,,,,,,,,,38.22944741,-85.63405214,18.06,6/21/22 0:00,450,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,6/22/22 8:13,FALSE,6777,Accepted
30208148,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,COLONEL HANCOCK,,,,,38.13044598,-85.57736551,4.088,6/20/22 0:00,1221,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/21/22 8:56,FALSE,2017,Accepted
30208149,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060,,SHELBYVILLE,RD,,,LYNDON,,,,,38.24817655,-85.59885483,6.66,6/20/22 0:00,1009,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/21/22 8:56,FALSE,7876,Accepted
30208156,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060,,SHELBYVILLE,RD,,,,,,,,38.24640739,-85.57661912,7.868,6/20/22 0:00,1650,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/21/22 8:56,FALSE,2218,Accepted
30208157,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0264,,I264 EB,,,,,I 0064,I64 EB EXIT19A RAMP TO I64 EB,I 0264,I264 EB EXIT18 ON RAMP FROM KY1932 NB,38.231757,-85.62976464,18.342,6/20/22 0:00,1551,3,3,0,1,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/21/22 8:57,FALSE,7369,Accepted
